Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Year of build,Voyage Origin Port,Flag,Gross tonnage,Deadweight,Length,Breadth
3,Oil and Products Terminal,0.3,1.9,Tug,SUPPORTING VESSELS,2.0,5.6,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
2,Oil and Products Terminal,1.4,2.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.8,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
2,Oil and Products Terminal,1.3,1.8,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.8,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
Container,Container Terminal XXI,1.1,1.6,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.9,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,10.7,10.8,Container Ship,CONTAINER SHIPS,347.0,7.6,2001,ALGECIRAS,Liberia,73059 tons,79465 tons,300 m,40 m
7,Oil and Products Terminal,0.4,18.3,Tug,SUPPORTING VESSELS,3.0,5.3,1979,SINES ANCH,Portugal,249 tons,189 tons,28 m,9 m
7,Oil and Products Terminal,19.2,19.6,LPG Tanker,LPG CARRIERS,85.0,7.3,2006,LEIXOES,Cyprus,2997 tons,3147 tons,95 m,15 m
Container,Container Terminal XXI,20.0,20.3,Container Ship,CONTAINER SHIPS,762.0,10.1,2010,VALENCIA,Portugal,94419 tons,108827 tons,332 m,43 m
Container,Container Terminal XXI,6.5,6.7,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,4.8,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,1.3,1.7,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.1,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,11.1,11.5,Container Ship,CONTAINER SHIPS,3.0,4.5,2002,SINES ANCH,Liberia,16802 tons,22968 tons,184 m,25 m
4,Oil and Products Terminal,0.7,18.2,Fire Fighting Vessel,SUPPORTING VESSELS,5.0,6.0,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
4,Oil and Products Terminal,0.5,18.3,Tug,SUPPORTING VESSELS,3.0,5.3,1979,SINES ANCH,Portugal,249 tons,189 tons,28 m,9 m
4,Oil and Products Terminal,52.9,53.5,Crude Oil Tanker,WET BULK,8.0,4.9,2007,SIKKA,Panama,56172 tons,105614 tons,237 m,42 m
Container,Container Terminal XXI,1.2,2.1,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,9.8,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,0.5,0.6,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,10.5,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
3,Oil and Products Terminal,0.3,0.7,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.1,2009,SINES ANCH,Portugal,455 tons,304 tons,30 m,11 m
3,Oil and Products Terminal,1.1,2.0,Tug,SUPPORTING VESSELS,2.0,5.9,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
3,Oil and Products Terminal,54.0,54.4,Oil/Chemical Tanker,WET BULK,310.0,11.5,2008,LEIXOES,Italy,17644 tons,25997 tons,169 m,25 m
Container,Container Terminal XXI,1.7,1.8,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,10.7,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
3,Multi Purpose Terminal,0.1,2.1,Tug,SUPPORTING VESSELS,3.0,6.2,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
3,Multi Purpose Terminal,0.1,2.1,Tug,SUPPORTING VESSELS,3.0,6.2,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
5,Oil and Products Terminal,0.5,2.1,Tug,SUPPORTING VESSELS,3.0,6.2,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
5,Oil and Products Terminal,1.4,2.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,4.9,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
5,Oil and Products Terminal,1.4,1.9,Fire Fighting Vessel,SUPPORTING VESSELS,5.0,4.9,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
5,Oil and Products Terminal,30.1,30.5,Crude Oil Tanker,WET BULK,1173.0,12.1,2019,ROTTERDAM,Singapore,81000 tons,149999 tons,275 m,48 m
2,Oil and Products Terminal,0.9,60.4,Tug,SUPPORTING VESSELS,2.0,5.5,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
2,Oil and Products Terminal,0.7,53.6,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,9.9,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
7,Oil and Products Terminal,8.7,9.0,Oil Products Tanker,WET BULK,5.0,6.4,2007,SETUBAL,Spain,4969 tons,6850 tons,99 m,18 m
1B,Multi Purpose Terminal,40.7,41.3,Oil/Chemical Tanker,WET BULK,1210.0,9.7,2009,IJMUIDEN,Malta,2802 tons,3557 tons,93 m,14 m
2,Oil and Products Terminal,0.5,53.6,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,9.9,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
2,Oil and Products Terminal,0.7,53.6,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,10.9,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
3,Multi Purpose Terminal,0.1,60.4,Tug,SUPPORTING VESSELS,2.0,5.5,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
4,Oil and Products Terminal,0.3,60.4,Tug,SUPPORTING VESSELS,2.0,5.5,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
1B,Multi Purpose Terminal,43.7,59.3,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,12.2,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
2,Multi Purpose Terminal,2.5,59.3,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,12.2,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,0.6,1.1,Fire Fighting Vessel,SUPPORTING VESSELS,7.0,5.9,2009,SINES ANCH,Portugal,455 tons,304 tons,30 m,11 m
Container,Container Terminal XXI,0.6,1.0,Fire Fighting Vessel,SUPPORTING VESSELS,6.0,5.9,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,59.4,59.7,Container Ship,CONTAINER SHIPS,1173.0,16.2,2017,ANTWERP,Germany,118945 tons,123587 tons,333 m,48 m
Container,Container Terminal XXI,0.4,0.5,Fire Fighting Vessel,SUPPORTING VESSELS,8.0,11.0,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,66.2,66.6,Container Ship,CONTAINER SHIPS,5399.0,16.9,2015,MUNDRA,Portugal,95514 tons,110697 tons,299 m,48 m
4,Oil and Products Terminal,0.5,60.4,Tug,SUPPORTING VESSELS,2.0,5.5,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
4,Oil and Products Terminal,29.5,29.8,Oil/Chemical Tanker,WET BULK,6.0,5.8,2007,LEIXOES,Italy,13472 tons,19991 tons,149 m,23 m
Container,Container Terminal XXI,0.1,1.7,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,9.7,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
2,Oil and Products Terminal,0.2,11.5,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.3,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
Container,Container Terminal XXI,8.3,8.6,Container Ship,CONTAINER SHIPS,1184.0,17.0,2005,ANTWERP,Liberia,54771 tons,66799 tons,294 m,32 m
2,Oil and Products Terminal,1.3,11.5,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.4,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
