Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Year of build,Voyage Origin Port,Flag,Gross tonnage,Deadweight,Length,Breadth
Container,Container Terminal XXI,14.5,15.0,Container Ship,CONTAINER SHIPS,1208.0,15.9,2004,ANTWERP,Panama,54774 tons,66786 tons,294 m,32 m
7,Oil and Products Terminal,18.9,19.2,LPG Tanker,LPG CARRIERS,27.0,4.8,2004,LISBOA,Portugal,2708 tons,3090 tons,74 m,14 m
6,Oil and Products Terminal,17.5,41.2,Oil Products Tanker,WET BULK,4.0,5.2,2007,SINES,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,22.1,22.2,Container Ship,CONTAINER SHIPS,281.0,14.9,2005,ALGECIRAS,Germany,89954 tons,105034 tons,324 m,42 m
3,Oil and Products Terminal,0.3,16.9,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.2,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
3,Oil and Products Terminal,33.0,33.4,Oil/Chemical Tanker,WET BULK,1387.0,6.7,2007,LEIXOES,Italy,13472 tons,19991 tons,149 m,23 m
3,Oil and Products Terminal,0.4,25.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,16.8,17.2,Container Ship,CONTAINER SHIPS,1314.0,16.7,2009,GIOIA TAURO,Liberia,41322 tons,52316 tons,258 m,32 m
Sines LNG,REN Atlantico Terminal LNG,1.4,25.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,15.7,16.0,Container Ship,CONTAINER SHIPS,1908.0,14.5,2004,NEMRUT,Panama,54774 tons,66694 tons,294 m,32 m
1A,Multi Purpose Terminal,15.5,16.1,Bulk Carrier,DRY BULK,26.0,6.1,2011,ARZEW,Panama,10154 tons,15332 tons,145 m,21 m
7,Oil and Products Terminal,4.8,5.2,LPG Tanker,LPG CARRIERS,294.0,5.2,2004,LISBOA,Portugal,2708 tons,3090 tons,74 m,14 m
Container,Container Terminal XXI,14.8,15.0,Container Ship,CONTAINER SHIPS,997.0,12.8,2006,AGADIR,Portugal,9981 tons,11273 tons,134 m,22 m
1A,Multi Purpose Terminal,22.9,41.2,Oil Products Tanker,WET BULK,4.0,5.2,2007,SINES,Spain,4969 tons,6850 tons,99 m,18 m
3,Oil and Products Terminal,24.6,25.1,Oil/Chemical Tanker,WET BULK,1144.0,7.8,2008,SINES,Sweden,13798 tons,19999 tons,155 m,23 m
3,Oil and Products Terminal,0.6,25.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
Sines LNG,REN Atlantico Terminal LNG,26.0,26.7,LNG Tanker,LNG CARRIERS,5473.0,12.4,2007,BONNY,Bermuda,98798 tons,83688 tons,288 m,43 m
Sines LNG,REN Atlantico Terminal LNG,1.3,2.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.3,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,7.4,7.7,Oil Products Tanker,WET BULK,50.0,7.9,2007,SETUBAL,Spain,4969 tons,6850 tons,99 m,18 m
2,Oil and Products Terminal,0.9,2.4,Tug,SUPPORTING VESSELS,3.0,5.3,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
2,Oil and Products Terminal,1.8,2.4,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.0,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
3,Multi Purpose Terminal,7.5,9.1,Tug,SUPPORTING VESSELS,1.0,3.7,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
4,Oil and Products Terminal,0.7,9.1,Tug,SUPPORTING VESSELS,1.0,3.7,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
4,Oil and Products Terminal,21.5,22.0,Chemical Tanker,WET BULK,661.0,11.6,2010,LAS PALMAS,Liberia,23313 tons,37843 tons,184 m,27 m
4,Oil and Products Terminal,0.6,30.1,Tug,SUPPORTING VESSELS,1.0,6.0,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
7,Oil and Products Terminal,0.4,30.1,Tug,SUPPORTING VESSELS,1.0,6.0,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
7,Oil and Products Terminal,23.9,24.3,LPG Tanker,LPG CARRIERS,250.0,11.2,2015,LEIXOES,Marshall Islands,3589 tons,3720 tons,95 m,15 m
Container,Container Terminal XXI,45.3,45.4,Container Ship,CONTAINER SHIPS,1340.0,11.3,1996,GIOIA TAURO,Liberia,81488 tons,84900 tons,318 m,42 m
Sines LNG,REN Atlantico Terminal LNG,30.4,39.4,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.5,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
10,Petrochemical Terminal,23.7,24.2,LPG Tanker,LPG CARRIERS,995.0,8.8,2011,TARRAGONA,Liberia,7313 tons,9305 tons,128 m,18 m
6,Oil and Products Terminal,22.5,23.0,Oil/Chemical Tanker,WET BULK,234.0,5.9,2010,LEIXOES,Liberia,5581 tons,7304 tons,101 m,19 m
7,Oil and Products Terminal,21.2,21.5,LPG Tanker,LPG CARRIERS,1119.0,9.7,2006,SINES,Cyprus,2997 tons,3147 tons,95 m,15 m
3,Multi Purpose Terminal,25.3,30.1,Tug,SUPPORTING VESSELS,1.0,6.0,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
2,Multi Purpose Terminal,0.2,39.4,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.5,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
5,Oil and Products Terminal,0.5,39.4,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.5,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
5,Oil and Products Terminal,0.7,30.1,Tug,SUPPORTING VESSELS,1.0,6.0,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
5,Oil and Products Terminal,57.4,57.9,Oil/Chemical Tanker,WET BULK,1323.0,9.8,2017,PURFLEET,Denmark,28137 tons,39999 tons,183 m,32 m
4,Oil and Products Terminal,0.5,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
4,Oil and Products Terminal,30.2,30.7,LPG Tanker,LPG CARRIERS,361.0,5.5,2011,SINES,Indonesia,18006 tons,17400 tons,158 m,26 m
3,Oil and Products Terminal,0.2,2.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,6.4,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
3,Oil and Products Terminal,38.1,38.5,Oil/Chemical Tanker,WET BULK,341.0,5.9,2008,BARREIRO,Italy,17644 tons,25997 tons,169 m,25 m
3,Multi Purpose Terminal,1.2,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
Container,Container Terminal XXI,5.8,6.2,Oil Products Tanker,WET BULK,89.0,7.3,2007,LISBOA,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,13.6,13.8,Container Ship,CONTAINER SHIPS,901.0,11.8,2004,VALENCIA,Liberia,53453 tons,66597 tons,294 m,32 m
1B,Multi Purpose Terminal,0.4,125.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.8,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,23.5,23.6,Container Ship,CONTAINER SHIPS,2014.0,15.3,2005,NEMRUT,Liberia,54771 tons,66799 tons,294 m,32 m
Container,Container Terminal XXI,11.2,11.5,Container Ship,CONTAINER SHIPS,1327.0,13.9,2000,NAPOLI,Liberia,53208 tons,67795 tons,294 m,32 m
Container,Container Terminal XXI,26.6,27.0,Container Ship,CONTAINER SHIPS,671.0,11.1,2001,VALENCIA,Panama,43575 tons,61487 tons,273 m,32 m
3,Multi Purpose Terminal,64.1,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
Sines LNG,REN Atlantico Terminal LNG,62.8,125.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.8,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
4,Oil and Products Terminal,0.8,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
2,Oil and Products Terminal,0.3,125.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.8,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
2,Oil and Products Terminal,1.2,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
Container,Container Terminal XXI,19.7,20.0,Container Ship,CONTAINER SHIPS,344.0,10.3,2007,ALGECIRAS,Singapore,79702 tons,87608 tons,318 m,40 m
5,Oil and Products Terminal,20.4,20.7,Oil/Chemical Tanker,WET BULK,2228.0,8.2,2007,BISSAU,Malta,6953 tons,11674 tons,119 m,20 m
Container,Container Terminal XXI,25.4,25.6,Oil/Chemical Tanker,WET BULK,4.0,7.7,2010,SINES,Liberia,5581 tons,7304 tons,101 m,19 m
Container,Container Terminal XXI,87.5,87.8,Container Ship,CONTAINER SHIPS,324.0,8.8,1992,VIGO,Panama,30567 tons,31160 tons,202 m,31 m
Container,Container Terminal XXI,34.6,34.9,Container Ship,CONTAINER SHIPS,673.0,16.3,2015,VALENCIA,Portugal,96331 tons,109778 tons,300 m,48 m
2,Multi Purpose Terminal,0.2,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
Container,Container Terminal XXI,27.3,27.5,Container Ship,CONTAINER SHIPS,3001.0,12.2,2012,LOME,Panama,141635 tons,140951 tons,366 m,48 m
2,Oil and Products Terminal,1.0,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
2,Oil and Products Terminal,33.9,34.3,Crude Oil Tanker,WET BULK,542.0,10.2,2009,ARZEW,Bahamas,83545 tons,156871 tons,274 m,48 m
2,Oil and Products Terminal,1.2,125.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.8,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
4,Oil and Products Terminal,39.0,39.4,LPG Tanker,LPG CARRIERS,3248.0,12.7,2011,MARCUS HOOK,Indonesia,18006 tons,17400 tons,158 m,26 m
6,Oil and Products Terminal,19.4,19.9,Oil/Chemical Tanker,WET BULK,4.0,8.2,2010,SINES,Liberia,5581 tons,7304 tons,101 m,19 m
3,Oil and Products Terminal,0.4,9.5,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
3,Oil and Products Terminal,26.9,27.4,Oil/Chemical Tanker,WET BULK,1177.0,12.8,2006,ROTTERDAM,Malta,25385 tons,40161 tons,176 m,31 m
7,Oil and Products Terminal,34.9,35.4,LPG Tanker,LPG CARRIERS,1600.0,11.1,2015,KAARSTO,Marshall Islands,4748 tons,5158 tons,99 m,17 m
3,Multi Purpose Terminal,30.2,30.7,General Cargo,DRY BREAKBULK,198.0,10.0,2007,HUELVA,Portugal,5629 tons,8046 tons,108 m,18 m
Container,Container Terminal XXI,8.6,9.1,Oil/Chemical Tanker,WET BULK,4.0,6.5,2010,SINES,Liberia,5581 tons,7304 tons,101 m,19 m
Container,Container Terminal XXI,34.9,35.2,Container Ship,CONTAINER SHIPS,676.0,13.3,2006,VALENCIA,Panama,50963 tons,63411 tons,274 m,32 m
6,Oil and Products Terminal,7.0,7.4,Oil/Chemical Tanker,WET BULK,134.0,9.1,2010,LEIXOES,Liberia,5581 tons,7304 tons,101 m,19 m
Container,Container Terminal XXI,1.1,1.4,Fire Fighting Vessel,SUPPORTING VESSELS,5.0,6.0,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,42.2,42.5,Container Ship,CONTAINER SHIPS,1303.0,10.1,2006,GIOIA TAURO,Panama,89954 tons,105083 tons,324 m,42 m
7,Oil and Products Terminal,6.5,6.9,Oil Products Tanker,WET BULK,4.0,8.2,2007,SINES,Spain,4969 tons,6850 tons,99 m,18 m
5,Oil and Products Terminal,31.2,31.5,LPG Tanker,LPG CARRIERS,298.0,12.2,2010,CEUTA,Singapore,5296 tons,6022 tons,117 m,18 m
4,Oil and Products Terminal,0.2,40.5,Tug,SUPPORTING VESSELS,3.0,6.8,1995,LISBOA,Portugal,270 tons,131 tons,27 m,9 m
4,Oil and Products Terminal,35.5,35.8,Oil/Chemical Tanker,WET BULK,762.0,12.3,2011,TARRAGONA,France,23248 tons,37583 tons,184 m,27 m
Container,Container Terminal XXI,15.2,15.5,Container Ship,CONTAINER SHIPS,486.0,14.1,2005,AGADIR,Portugal,9962 tons,11416 tons,134 m,22 m
Container,Container Terminal XXI,21.1,21.3,Container Ship,CONTAINER SHIPS,245.0,12.5,2007,LEIXOES,Antigua & Barbuda,9909 tons,12193 tons,140 m,23 m
6,Oil and Products Terminal,19.5,20.1,LPG Tanker,LPG CARRIERS,249.0,12.4,2015,LEIXOES,Marshall Islands,3589 tons,3720 tons,95 m,15 m
1B,Multi Purpose Terminal,137.2,137.8,Livestock Carrier,OTHER MARKETS,428.0,9.0,1985,CEUTA,Panama,12072 tons,4734 tons,121 m,21 m
Container,Container Terminal XXI,19.2,19.6,Oil Products Tanker,WET BULK,4.0,7.4,2007,SINES,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,25.3,25.4,Container Ship,CONTAINER SHIPS,1308.0,14.0,1999,GIOIA TAURO,Panama,53208 tons,67615 tons,294 m,32 m
4,Oil and Products Terminal,0.4,69.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,4.9,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
7,Oil and Products Terminal,7.2,7.7,Oil Products Tanker,WET BULK,4.0,6.9,2007,SETUBAL,Spain,4969 tons,6850 tons,99 m,18 m
3,Oil and Products Terminal,0.2,27.4,Tug,SUPPORTING VESSELS,2.0,5.5,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
3,Oil and Products Terminal,36.9,37.4,Oil/Chemical Tanker,WET BULK,251.0,10.0,2008,AVEIRO,Italy,17644 tons,25997 tons,169 m,25 m
5,Oil and Products Terminal,31.5,31.9,Oil/Chemical Tanker,WET BULK,773.0,11.4,2007,PONTA DELGADA,Italy,13472 tons,19991 tons,149 m,23 m
1A,Multi Purpose Terminal,6.6,34.1,Oil/Chemical Tanker,WET BULK,252.0,6.0,2008,LEIXOES,Sweden,13798 tons,19999 tons,155 m,23 m
1B,Multi Purpose Terminal,29.3,29.7,General Cargo,DRY BREAKBULK,249.0,9.7,2011,VIANA DO CASTELO,Netherlands,2549 tons,3799 tons,88 m,12 m
Container,Container Terminal XXI,24.8,25.1,Container Ship,CONTAINER SHIPS,1933.0,15.9,1997,NEMRUT,Liberia,53324 tons,62200 tons,294 m,32 m
6,Oil and Products Terminal,9.5,10.0,Oil Products Tanker,WET BULK,4.0,6.0,2007,SETUBAL,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,45.3,45.6,Container Ship,CONTAINER SHIPS,308.0,13.8,1999,VIGO,Marshall Islands,16177 tons,23026 tons,184 m,25 m
5,Oil and Products Terminal,26.8,34.1,Oil/Chemical Tanker,WET BULK,252.0,6.0,2008,LEIXOES,Sweden,13798 tons,19999 tons,155 m,23 m
Container,Container Terminal XXI,11.4,11.7,Oil Products Tanker,WET BULK,43.0,8.0,2007,SETUBAL,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,33.3,33.5,Container Ship,CONTAINER SHIPS,334.0,14.4,2012,MALAGA,Panama,140096 tons,154792 tons,365 m,48 m
Container,Container Terminal XXI,16.5,16.7,Container Ship,CONTAINER SHIPS,279.0,18.9,2005,ALGECIRAS,Marshall Islands,90449 tons,100887 tons,333 m,42 m
4,Oil and Products Terminal,1.0,34.8,Tug,SUPPORTING VESSELS,3.0,5.7,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
4,Oil and Products Terminal,1.0,69.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,4.9,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
4,Oil and Products Terminal,40.9,41.6,Crude Oil Tanker,WET BULK,891.0,11.7,2012,SKIKDA,India,57249 tons,105525 tons,244 m,42 m
7,Oil and Products Terminal,21.3,21.7,LPG Tanker,LPG CARRIERS,248.0,11.8,2006,LEIXOES,Cyprus,2997 tons,3147 tons,95 m,15 m
6,Oil and Products Terminal,20.0,20.6,Oil/Chemical Tanker,WET BULK,4.0,7.7,2010,SINES,Liberia,5581 tons,7304 tons,101 m,19 m
3,Oil and Products Terminal,0.4,8.8,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.4,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
3,Oil and Products Terminal,23.2,23.6,Chemical Tanker,WET BULK,7.0,5.3,2010,CARTEYA GUADARRANQUE,Liberia,23313 tons,37843 tons,184 m,27 m
Container,Container Terminal XXI,0.9,1.1,Tug,SUPPORTING VESSELS,4.0,7.4,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
2,Multi Purpose Terminal,84.3,84.8,Livestock Carrier,OTHER MARKETS,289.0,10.8,1983,CEUTA,Panama,7069 tons,2655 tons,99 m,17 m
4,Oil and Products Terminal,1.5,9.6,Tug,SUPPORTING VESSELS,2.0,6.0,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
5,Oil and Products Terminal,20.1,20.5,LPG/Chemical Tanker,LPG CARRIERS,6.0,4.8,2007,ROTTERDAM BOTLEK,France,7292 tons,11320 tons,119 m,20 m
Container,Container Terminal XXI,17.4,17.6,Oil/Chemical Tanker,WET BULK,4.0,5.4,2010,LEIXOES,Liberia,5581 tons,7304 tons,101 m,19 m
Container,Container Terminal XXI,23.9,24.0,Container Ship,CONTAINER SHIPS,672.0,15.0,2017,VALENCIA,Malta,112836 tons,134869 tons,329 m,48 m
Container,Container Terminal XXI,0.2,0.6,Tug,SUPPORTING VESSELS,6.0,6.5,1995,LISBOA,Portugal,270 tons,131 tons,27 m,9 m
Container,Container Terminal XXI,0.7,1.1,Fire Fighting Vessel,SUPPORTING VESSELS,6.0,6.4,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,20.3,20.5,Container Ship,CONTAINER SHIPS,986.0,12.3,2015,LE HAVRE,Liberia,93685 tons,104544 tons,299 m,48 m
1A,Multi Purpose Terminal,44.0,44.7,Container Ship,CONTAINER SHIPS,5.0,6.9,2015,SINES,Panama,95497 tons,110029 tons,299 m,48 m
Container,Container Terminal XXI,14.5,14.9,Container Ship,CONTAINER SHIPS,1508.0,13.4,2013,HAMBURG,Liberia,94017 tons,112516 tons,299 m,48 m
3,Oil and Products Terminal,0.5,4.3,Tug,SUPPORTING VESSELS,3.0,5.2,1995,LISBOA,Portugal,270 tons,131 tons,27 m,9 m
Container,Container Terminal XXI,9.8,10.1,Container Ship,CONTAINER SHIPS,1914.0,15.5,2004,NEMRUT,Panama,54774 tons,66786 tons,294 m,32 m
7,Oil and Products Terminal,21.9,22.3,LPG Tanker,LPG CARRIERS,214.0,12.6,2015,HUELVA,Marshall Islands,5452 tons,5209 tons,99 m,18 m
6,Oil and Products Terminal,16.9,17.2,LPG Tanker,LPG CARRIERS,249.0,12.7,2015,LEIXOES,Marshall Islands,3589 tons,3720 tons,95 m,15 m
2,Oil and Products Terminal,0.7,16.4,Tug,SUPPORTING VESSELS,4.0,5.0,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
2,Oil and Products Terminal,0.4,21.5,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.4,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
2,Oil and Products Terminal,34.7,35.1,Crude Oil Tanker,WET BULK,2323.0,11.8,2011,CEYHAN,Marshall Islands,61248 tons,115952 tons,248 m,43 m
Container,Container Terminal XXI,28.0,28.2,Container Ship,CONTAINER SHIPS,9619.0,13.6,2010,MUNDRA,Panama,153115 tons,165908 tons,365 m,51 m
4,Oil and Products Terminal,0.2,71.3,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
1A,Multi Purpose Terminal,24.1,24.6,Oil Products Tanker,WET BULK,3.0,6.3,2007,SETUBAL,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,28.8,29.1,Container Ship,CONTAINER SHIPS,705.0,14.7,2015,VALENCIA,Panama,95497 tons,110029 tons,299 m,48 m
3,Multi Purpose Terminal,33.4,33.8,Livestock Carrier,OTHER MARKETS,4770.0,9.0,1987,HAIFA,Denmark,3228 tons,1748 tons,85 m,14 m
6,Oil and Products Terminal,15.2,34.5,Oil/Chemical Tanker,WET BULK,122.0,8.9,2010,SINES,Liberia,5581 tons,7304 tons,101 m,19 m
5,Oil and Products Terminal,11.5,11.9,LPG/Chemical Tanker,LPG CARRIERS,1163.0,10.8,2007,ROTTERDAM BOTLEK,France,7292 tons,11320 tons,119 m,20 m
3,Oil and Products Terminal,39.3,39.8,Chemical Tanker,WET BULK,347.0,9.2,2010,CARTEYA GUADARRANQUE,Liberia,23313 tons,37843 tons,184 m,27 m
4,Oil and Products Terminal,0.8,1.3,Tug,SUPPORTING VESSELS,3.0,6.0,1995,LISBOA,Portugal,270 tons,131 tons,27 m,9 m
4,Oil and Products Terminal,17.9,18.2,Oil/Chemical Tanker,WET BULK,274.0,9.7,2008,LEIXOES,Italy,17644 tons,25997 tons,169 m,25 m
Container,Container Terminal XXI,35.0,35.2,Container Ship,CONTAINER SHIPS,673.0,11.9,2008,VALENCIA,Portugal,40807 tons,55301 tons,260 m,32 m
Container,Container Terminal XXI,19.1,19.5,Container Ship,CONTAINER SHIPS,61.0,7.1,2019,ANTWERP,Liberia,112695 tons,128688 tons,328 m,48 m
Sines LNG,REN Atlantico Terminal LNG,18.3,34.5,Oil/Chemical Tanker,WET BULK,122.0,8.9,2010,SINES,Liberia,5581 tons,7304 tons,101 m,19 m
2,Multi Purpose Terminal,0.6,71.3,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
6,Oil and Products Terminal,13.5,13.9,Oil Products Tanker,WET BULK,4.0,7.6,2007,SINES,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,26.6,26.9,Container Ship,CONTAINER SHIPS,669.0,16.2,2010,VALENCIA,Liberia,54182 tons,63069 tons,293 m,32 m
Container,Container Terminal XXI,18.8,19.2,Oil Products Tanker,WET BULK,4.0,6.3,2007,SINES,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,33.8,34.3,Container Ship,CONTAINER SHIPS,2306.0,13.8,2006,HAIFA,Liberia,89941 tons,102762 tons,334 m,42 m
3,Multi Purpose Terminal,27.1,27.7,General Cargo,DRY BREAKBULK,250.0,10.3,2011,VIANA DO CASTELO,Netherlands,2549 tons,3799 tons,88 m,12 m
3,Multi Purpose Terminal,0.8,71.3,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
7,Oil and Products Terminal,16.2,16.5,LPG Tanker,LPG CARRIERS,246.0,11.1,2006,LEIXOES,Cyprus,2997 tons,3147 tons,95 m,15 m
5,Oil and Products Terminal,0.3,71.3,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
5,Oil and Products Terminal,24.1,24.4,Oil/Chemical Tanker,WET BULK,820.0,12.3,2014,BARCELONA,Marshall Islands,24162 tons,38734 tons,184 m,27 m
2,Oil and Products Terminal,1.7,12.5,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.2,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
4,Oil and Products Terminal,3.0,59.0,Tug,SUPPORTING VESSELS,4.0,5.0,1995,LISBOA,Portugal,270 tons,131 tons,27 m,9 m
Container,Container Terminal XXI,21.9,22.2,Container Ship,CONTAINER SHIPS,997.0,11.6,2008,LE HAVRE,Panama,66399 tons,73262 tons,277 m,40 m
6,Oil and Products Terminal,21.6,22.0,Oil/Chemical Tanker,WET BULK,123.0,9.4,2010,LEIXOES,Liberia,5581 tons,7304 tons,101 m,19 m
3,Oil and Products Terminal,0.4,12.5,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.2,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
5,Oil and Products Terminal,0.2,12.5,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.2,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,27.9,28.2,Container Ship,CONTAINER SHIPS,1192.0,12.9,2019,ANTWERP,Liberia,112695 tons,128688 tons,328 m,48 m
1A,Multi Purpose Terminal,37.5,38.0,Oil Products Tanker,WET BULK,4.0,7.3,2007,SETUBAL,Spain,4969 tons,6850 tons,99 m,18 m
5,Oil and Products Terminal,22.3,22.6,Oil/Chemical Tanker,WET BULK,226.0,11.4,2008,LEIXOES,Sweden,13798 tons,19999 tons,155 m,23 m
5,Oil and Products Terminal,0.3,9.2,Fire Fighting Vessel,SUPPORTING VESSELS,1.0,5.1,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,24.1,24.5,Container Ship,CONTAINER SHIPS,1947.0,12.1,2004,NEMRUT,Panama,54304 tons,68599 tons,294 m,32 m
Container,Container Terminal XXI,46.4,46.6,Container Ship,CONTAINER SHIPS,1476.0,9.3,2012,SALERNO,Liberia,94017 tons,112516 tons,299 m,48 m
7,Oil and Products Terminal,27.0,27.4,LPG Tanker,LPG CARRIERS,701.0,9.8,2008,PUERTO DE SALINETAS,Italy,3836 tons,4026 tons,95 m,15 m
3,Multi Purpose Terminal,5.6,12.6,Oil Products Tanker,WET BULK,4.0,7.4,2007,SINES,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,18.7,18.9,Container Ship,CONTAINER SHIPS,1138.0,8.9,2016,LE HAVRE,Malta,112836 tons,134869 tons,330 m,48 m
3,Multi Purpose Terminal,54.5,55.0,General Cargo,DRY BREAKBULK,1342.0,11.7,2009,EMDEN,Panama,9611 tons,12629 tons,139 m,21 m
7,Oil and Products Terminal,6.3,12.6,Oil Products Tanker,WET BULK,4.0,7.4,2007,SINES,Spain,4969 tons,6850 tons,99 m,18 m
2,Oil and Products Terminal,0.5,45.2,Tug,SUPPORTING VESSELS,4.0,5.4,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
2,Oil and Products Terminal,1.4,26.7,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.5,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
2,Oil and Products Terminal,48.8,49.4,Crude Oil Tanker,WET BULK,296.0,10.4,2011,GEBIG,Liberia,164580 tons,318757 tons,333 m,60 m
10,Petrochemical Terminal,41.9,42.3,LPG Tanker,LPG CARRIERS,374.0,5.6,2016,TARRAGONA,Greece,13794 tons,15050 tons,147 m,22 m
1B,Multi Purpose Terminal,0.6,3.9,Tug,SUPPORTING VESSELS,3.0,5.0,1995,SINES,Portugal,270 tons,131 tons,27 m,9 m
