feature_set,protocol,model,n_train_test,r2_hours,rmse_h,mae_h,median_ae_h,within_6h,within_12h,r2_sd
+ manifested cargo,grouped,Baseline (median stay),5927/2221,-0.0638541421616118,25.09803695217997,14.174105215760768,9.60833333333333,0.3401438064349797,0.5945790965886191,0.0758566407272288
+ manifested cargo,grouped,Ridge,5927/2221,0.1031869658863299,23.05445071536107,11.742292923712435,6.405371169354038,0.47522073502282,0.7400350231803492,0.1027084688962744
+ manifested cargo,grouped,Gradient Boosting,5927/2221,0.2339697739734154,21.30041298852837,10.715607703675335,5.892247613322387,0.5080820660610674,0.7672797568179721,0.048173169949457
+ manifested cargo,grouped,HistGradientBoosting,5927/2221,0.2876339964822528,20.55068530453566,10.593069895235462,5.941917515699272,0.50441777909758,0.7583146213973058,0.0363719581336875
+ manifested cargo,grouped,Random Forest,5927/2221,0.2986808721116123,20.37759832241767,10.33872456142354,5.931889797208073,0.5095956186025179,0.7618817596485181,0.0274315351086709
+ manifested cargo,grouped,Extra Trees,5927/2221,0.2983103981898743,20.398153932422417,9.999575050989012,5.377042572077197,0.539759200629985,0.7972424239183105,0.0564739823691582
+ manifested cargo,temporal,Baseline (median stay),6479/1669,-0.0744273251030618,23.83505281848555,13.683213501098464,8.86666666666667,0.3738765727980827,0.6189334931096465,0.0
+ manifested cargo,temporal,Ridge,6479/1669,-0.0117890388986108,23.12983748435214,12.914347352466672,7.740100199006886,0.4188136608747753,0.6674655482324745,0.0
+ manifested cargo,temporal,Gradient Boosting,6479/1669,0.0758379388552473,22.10556258321933,12.1829364163505,6.892863544710058,0.4503694827241861,0.7006191332135011,0.0014738925904066
+ manifested cargo,temporal,HistGradientBoosting,6479/1669,0.1013905427218592,21.79782134042885,11.97528697531285,6.781848435812741,0.4595566207309766,0.7070101857399641,0.0
+ manifested cargo,temporal,Random Forest,6479/1669,0.1525681770437109,21.167971661025643,11.65487342597162,6.9057686928912245,0.444977032154983,0.7114040343519074,0.0038201365564322
+ manifested cargo,temporal,Extra Trees,6479/1669,0.1305271381772045,21.441499883877984,11.51864804992202,6.11299036794617,0.4923107649290992,0.7237866986219292,0.0030646862886256
