"Dock Timestamp","Undock Timestamp","Vessel Name","Berth Name","Terminal Name","Current Port","Current Port Ata","Destination Port","Load Condition At Arrival","Current Port Atd","Load Condition At Departure","Time At Berth","Time At Port","Vessel Type - Generic","Capacity - Dwt","Capacity - Gt",Built,"Current Port Unlocode","Port Operation",Mmsi,Imo,"Current Port Country","Draught At Arrival","Origin Port Unlocode","Origin Port Country","Commercial Market","Commercial Size Class","Capacity - Teu","Capacity - Liquid Gas","Voyage Distance Travelled","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port","Voyage Time Underway","Draught At Departure"
"2024-04-02 22:11:00",,"MSC SASHA",Container,"Container Terminal XXI",SINES,"2024-04-02 22:02:00",,Laden,,,,,"Container Ship",109520,95514,2016,PTSIE,,255805897,9720500,PT,14.4,FRLEH,FR,"CONTAINER SHIPS","POST PANAMAX",9400,,1035,15.4,16.9,0.3,"2024-03-31 02:33:00","LE HAVRE",67.5,
"2024-04-02 20:45:00","2024-04-02 21:13:00","MED ANTARES",Container,"Container Terminal XXI",SINES,"2024-04-02 13:28:00",SINES,N/A,"2024-04-02 21:16:00",N/A,0.5,7.8,Tug,156,,2019,PTSIE,NA,255806406,9803821,PT,6.0,PTSIE,PT,"SUPPORTING VESSELS",,,,4,5.4,8.2,0.6,"2024-04-02 12:09:00",SINES,1.3,6.0
"2024-04-02 20:43:00","2024-04-02 21:08:00","CTE CELSO MADEIRA",Container,"Container Terminal XXI",SINES,"2024-04-02 20:41:00",SINES,N/A,"2024-04-02 21:09:00",N/A,0.4,0.5,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,3,13.7,16.4,0.0,"2024-04-02 20:29:00",SINES,0.2,0.0
"2024-04-02 16:27:00","2024-04-02 16:30:00","CTE CELSO MADEIRA",1B,"Multi Purpose Terminal",SINES,"2024-04-02 12:37:00",SINES,N/A,"2024-04-02 20:29:00",N/A,0.1,7.9,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,4,11.3,17.8,0.0,"2024-04-02 12:21:00",SINES,0.3,0.0
"2024-04-02 15:41:00","2024-04-02 16:27:00",GOLIAS,1A,"Multi Purpose Terminal",SINES,"2024-04-02 00:32:00",,N/A,,,0.8,,Tug,,,,PTSIE,,263602573,0,PT,0.0,PTSIE,PT,"OTHER MARKETS",,,,1,5.4,5.4,0.0,"2024-04-02 00:25:00",SINES,0.1,
"2024-04-02 15:06:00","2024-04-03 08:36:00","BAHIA TRES",6,"Oil and Products Terminal",SINES,"2024-04-01 15:31:00",,"Partially Laden","2024-04-03 08:43:00",Laden,17.5,41.2,"Oil Products Tanker",6850,4969,2007,PTSIE,LOAD,224994000,9428671,PT,6.0,PTSIE,PT,"WET BULK",HANDYSIZE,,,4,5.2,6.0,0.0,"2024-04-01 14:57:00",SINES,0.6,6.8
"2024-04-02 15:04:00","2024-04-02 15:26:00",GOLIAS,6,"Oil and Products Terminal",SINES,"2024-04-02 00:32:00",,N/A,,,0.4,,Tug,,,,PTSIE,,263602573,0,PT,0.0,PTSIE,PT,"OTHER MARKETS",,,,1,5.4,5.4,0.0,"2024-04-02 00:25:00",SINES,0.1,
"2024-04-02 14:24:00","2024-04-02 14:31:00","CTE CELSO MADEIRA",1A,"Multi Purpose Terminal",SINES,"2024-04-02 12:37:00",,N/A,"2024-04-02 20:29:00",N/A,0.1,7.9,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,4,11.3,17.8,0.0,"2024-04-02 12:21:00",SINES,0.3,0.0
"2024-04-02 13:29:00","2024-04-02 21:04:00","VB LUSITANIA",Container,"Container Terminal XXI",SINES,"2024-04-02 13:22:00",SINES,N/A,"2024-04-02 21:12:00",N/A,7.6,7.8,Tug,,359,2024,PTSIE,NA,255915750,9998200,PT,5.7,PTSIE,PT,"SUPPORTING VESSELS",,,,4,6.1,12.0,0.4,"2024-04-02 12:21:00",SINES,1.0,5.7
"2024-04-02 13:28:00","2024-04-03 11:33:00","MSC BEIJING",Container,"Container Terminal XXI",SINES,"2024-04-02 13:23:00",,Laden,"2024-04-03 11:36:00",Laden,22.1,22.2,"Container Ship",105034,89954,2005,PTSIE,NONE,255806376,9289099,PT,12.3,ESALG,ES,"CONTAINER SHIPS","POST PANAMAX",8034,,281,14.9,19.4,3.5,"2024-04-01 14:40:00",ALGECIRAS,22.7,12.2
