Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Year of build,Voyage Origin Port,Flag,Gross tonnage,Deadweight,Length,Breadth
11,0,2.163323025660538,2.2192034840549946,14,7,3.0,6.7,2007,105,32,156,274,116,7
7,2,-0.2231435513142097,0.26236426446749106,17,6,2.0,5.5,1995,105,27,79,77,67,36
7,2,0.0,0.26236426446749106,5,6,5.0,5.9,2005,106,27,130,112,77,0
7,2,3.529297384289471,3.543853682063679,4,7,140.0,5.6,2006,91,21,187,8,56,25
11,0,3.005682604407159,3.0204248861443626,3,0,1416.0,10.9,2003,62,22,229,12,92,25
6,2,3.258096538021482,3.2733640101522705,15,7,552.0,7.4,2007,63,15,24,128,26,12
11,0,-0.6931471805599453,-0.2231435513142097,5,6,4.0,6.7,2005,105,27,130,112,77,0
11,0,3.370738174177447,3.380994674344636,3,0,1564.0,11.6,2005,44,22,174,254,81,21
5,2,3.7612001156935624,3.770459441106359,15,7,919.0,9.2,2008,15,21,20,118,23,12
11,0,2.8735646395797834,2.89591193827178,3,0,1785.0,13.8,2005,6,17,177,261,81,21
11,0,1.8870696490323797,1.916922612182061,3,0,477.0,10.4,2006,1,27,270,56,17,11
3,1,4.471638793363569,4.637637376125593,17,6,3.0,10.7,1995,105,27,79,77,67,36
3,1,4.470495282661489,4.618086411254637,5,6,3.0,10.8,2005,105,27,130,112,77,0
11,0,-0.6931471805599453,-0.35667494393873245,5,6,3.0,9.3,2005,105,27,130,112,77,0
11,0,0.47000362924573563,0.6931471805599453,17,6,4.0,7.5,1995,105,27,79,77,67,36
11,0,2.6026896854443837,2.631888840136646,3,0,54.0,12.7,2005,101,7,14,83,26,11
7,2,-0.916290731874155,2.509599262378372,5,6,1.0,6.9,2005,105,27,130,112,77,0
7,2,2.928523523860541,2.9444389791664403,15,7,269.0,10.7,2008,63,15,43,141,32,14
8,2,3.005682604407159,3.0301337002713233,11,4,269.0,11.9,2014,63,21,146,215,116,6
2,1,4.777441406928545,4.871373226762748,14,7,4.0,7.7,2007,105,32,156,274,116,7
11,0,2.6741486494265287,2.6878474937846906,3,0,692.0,13.1,2004,118,17,169,268,81,21
