Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Imo,Voyage Origin Port
Container,Container Terminal XXI,1.2,1.4,Tug,SUPPORTING VESSELS,4.0,7.1,9803821,SINES
Container,Container Terminal XXI,1.4,1.7,Fire Fighting Vessel,SUPPORTING VESSELS,5.0,6.3,9525443,SINES
Container,Container Terminal XXI,11.8,12.0,Container Ship,CONTAINER SHIPS,670.0,16.5,9301328,VALENCIA
2,Multi Purpose Terminal,0.2,89.4,Tug,SUPPORTING VESSELS,2.0,6.7,7626085,SINES
3,Oil and Products Terminal,0.4,15.1,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.4,9503512,SINES
3,Oil and Products Terminal,0.5,89.4,Tug,SUPPORTING VESSELS,2.0,6.7,7626085,SINES
3,Oil and Products Terminal,19.4,19.8,Oil/Chemical Tanker,WET BULK,460.0,9.1,9373137,LEIXOES
Container,Container Terminal XXI,0.4,0.6,Tug,SUPPORTING VESSELS,3.0,10.5,9803821,SINES
Container,Container Terminal XXI,0.4,0.6,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,10.7,9525443,SINES
3,Oil and Products Terminal,0.4,89.4,Tug,SUPPORTING VESSELS,2.0,6.7,7626085,SINES
1B,Multi Purpose Terminal,9.9,10.8,Oil/Chemical Tanker,WET BULK,125.0,9.3,9555084,LEIXOES
Sines LNG,REN Atlantico Terminal LNG,0.3,89.4,Tug,SUPPORTING VESSELS,2.0,6.7,7626085,SINES
Container,Container Terminal XXI,0.4,0.8,Tug,SUPPORTING VESSELS,3.0,7.4,9803821,SINES
Container,Container Terminal XXI,96.4,96.7,Container Ship,CONTAINER SHIPS,311.0,10.7,9039250,VIGO
1B,Multi Purpose Terminal,12.7,13.1,Container Ship,CONTAINER SHIPS,3.0,9.1,9150080,SINES
Container,Container Terminal XXI,4.7,5.2,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.3,9525443,SINES
Container,Container Terminal XXI,14.0,14.3,Container Ship,CONTAINER SHIPS,678.0,17.2,9857171,LAS PALMAS
Container,Container Terminal XXI,5.1,5.4,Tug,SUPPORTING VESSELS,6.0,6.3,9803821,SINES
Container,Container Terminal XXI,3.6,4.0,Fire Fighting Vessel,SUPPORTING VESSELS,5.0,6.4,9525443,SINES
Container,Container Terminal XXI,9.8,10.1,Container Ship,CONTAINER SHIPS,263.0,11.9,9150080,LEIXOES
1B,Multi Purpose Terminal,0.4,89.4,Tug,SUPPORTING VESSELS,2.0,6.7,7626085,SINES
5,Oil and Products Terminal,0.4,89.4,Tug,SUPPORTING VESSELS,2.0,6.7,7626085,SINES
Container,Container Terminal XXI,0.4,0.7,Fire Fighting Vessel,SUPPORTING VESSELS,5.0,7.0,9525443,SINES ANCH
Container,Container Terminal XXI,27.1,27.3,Container Ship,CONTAINER SHIPS,1019.0,16.7,9706190,LE HAVRE
Container,Container Terminal XXI,0.7,0.8,Tug,SUPPORTING VESSELS,5.0,6.8,9803821,SINES
2,Oil and Products Terminal,0.7,34.4,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.0,9503512,SINES ANCH
Container,Container Terminal XXI,3.5,3.7,Container Ship,CONTAINER SHIPS,226.0,14.6,9246566,LEIXOES
3,Oil and Products Terminal,0.5,34.4,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.0,9503512,SINES ANCH
3,Oil and Products Terminal,34.1,34.6,Oil Products Tanker,WET BULK,674.0,10.7,9391945,LAS PALMAS
2,Oil and Products Terminal,1.0,42.4,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.9,9503512,SINES
Container,Container Terminal XXI,1.2,1.3,Tug,SUPPORTING VESSELS,3.0,10.2,9803821,SINES
Container,Container Terminal XXI,1.1,1.2,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,9.6,9525443,SINES
5,Oil and Products Terminal,28.6,28.9,LPG Tanker,LPG CARRIERS,429.0,12.3,9624809,NADOR
5,Oil and Products Terminal,0.2,63.2,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.7,9319179,SINES
Container,Container Terminal XXI,0.3,0.6,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,7.7,9525443,SINES
Container,Container Terminal XXI,0.4,0.6,Tug,SUPPORTING VESSELS,6.0,6.7,9803821,SINES
Container,Container Terminal XXI,8.1,8.4,Container Ship,CONTAINER SHIPS,2300.0,13.2,9169122,HAIFA
Container,Container Terminal XXI,0.8,1.2,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,10.5,9525443,SINES
Container,Container Terminal XXI,6.4,6.5,Oil/Chemical Tanker,WET BULK,4.0,5.3,9555084,LEIXOES
Container,Container Terminal XXI,0.3,0.5,Tug,SUPPORTING VESSELS,2.0,5.1,9008653,SINES
Container,Container Terminal XXI,0.6,0.9,Tug,SUPPORTING VESSELS,3.0,6.3,9803821,SINES
Container,Container Terminal XXI,23.6,23.7,Container Ship,CONTAINER SHIPS,1007.0,13.1,9313943,CAGLIARI
Container,Container Terminal XXI,1.9,2.5,Tug,SUPPORTING VESSELS,4.0,6.6,9803821,SINES
3,Oil and Products Terminal,0.5,23.8,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.1,9319179,SINES
3,Oil and Products Terminal,37.1,37.4,Oil/Chemical Tanker,WET BULK,1454.0,11.0,9853228,TEES
Container,Container Terminal XXI,2.2,2.4,Tug,SUPPORTING VESSELS,2.0,4.2,9008653,SINES
Container,Container Terminal XXI,19.7,19.9,Container Ship,CONTAINER SHIPS,669.0,11.1,9618288,VALENCIA
Container,Container Terminal XXI,0.6,0.8,Tug,SUPPORTING VESSELS,3.0,11.5,9008653,SINES
Container,Container Terminal XXI,0.5,0.7,Tug,SUPPORTING VESSELS,3.0,10.7,9803821,SINES
10,Petrochemical Terminal,25.0,25.4,LPG Tanker,LPG CARRIERS,1947.0,12.3,9711509,NEMRUT
2,Oil and Products Terminal,1.1,4.9,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.5,9319179,SINES ANCH
2,Oil and Products Terminal,49.1,49.7,Crude Oil Tanker,WET BULK,2372.0,10.6,9594781,CEYHAN
6,Oil and Products Terminal,11.7,76.4,Oil Products Tanker,WET BULK,60.0,9.9,9428671,LISBOA
Sines LNG,REN Atlantico Terminal LNG,0.4,4.3,Fire Fighting Vessel,SUPPORTING VESSELS,8.0,5.2,9503512,SINES ANCH
Sines LNG,REN Atlantico Terminal LNG,0.6,4.4,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.5,9319179,SINES ANCH
5,Oil and Products Terminal,0.9,4.3,Fire Fighting Vessel,SUPPORTING VESSELS,8.0,5.2,9503512,SINES ANCH
5,Oil and Products Terminal,1.0,4.4,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.5,9319179,SINES ANCH
5,Oil and Products Terminal,25.4,25.9,Crude Oil Tanker,WET BULK,8.0,4.8,9400980,SIKKA
